Evident;Evident_A;Evident_TypSubjektu;Evident_Nazev;Evident_Nazev_A;Evident_Kraj;Partner;Partner_A;Partner_TypSubjektu;Partner_Nazev;Partner_Nazev_A;Partner_Kraj;Kod;Indikator;Mnozstvi;Druh_odpadu
554782;41269;1;Praha;KIZBUB;Hlavní město Praha;554782;41269;1;Praha;KIZBUB;Hlavní město Praha;A00;Produkce;39,11;200111
500071;40003;4;Poličná;HAFHOT;Zlínský;500071;40003;4;Poličná;HAFHOT;Zlínský;A00;Produkce;4,731;200111
500496;40006;1;Olomouc;HAPHET;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;A00;Produkce;297,116;200111
554804;41273;1;Ústí nad Labem;KIFFOB;Ústecký;554804;41273;1;Ústí nad Labem;KIFFOB;Ústecký;A00;Produkce;2,215;200111
504785;40030;4;Paseka;HATDAT;Olomoucký;504785;40030;4;Paseka;HATDAT;Olomoucký;A00;Produkce;3,166;200111
505269;40038;4;Těšetice;HAVDOT;Olomoucký;505269;40038;4;Těšetice;HAVDOT;Olomoucký;A00;Produkce;2,997;200111
506737;40054;1;Chvalčov;HALNUT;Zlínský;506737;40054;1;Chvalčov;HALNUT;Zlínský;A00;Produkce;0,183;200111
507016;40055;1;Hlučín;HAMNAT;Moravskoslezský;507016;40055;1;Hlučín;HAMNAT;Moravskoslezský;A00;Produkce;33,40289319;200111
508501;40071;4;Lužnice;HANFET;Jihočeský;508501;40071;4;Lužnice;HANFET;Jihočeský;A00;Produkce;3,5312;200111
511382;40089;1;Přerov;HAZLUT;Olomoucký;511382;40089;1;Přerov;HAZLUT;Olomoucký;A00;Produkce;6,2855;200111
513491;40115;4;Horní Moštěnice;HEMKAN;Olomoucký;513491;40115;4;Horní Moštěnice;HEMKAN;Olomoucký;A00;Produkce;6,014;200111
513750;40123;1;Hranice;HEFRON;Olomoucký;513750;40123;1;Hranice;HEFRON;Olomoucký;A00;Produkce;0,02;200111
513768;40125;4;Hustopeče nad Bečvou;HEMRAN;Olomoucký;513768;40125;4;Hustopeče nad Bečvou;HEMRAN;Olomoucký;A00;Produkce;5,912;200111
514055;40127;1;Kojetín;HESRIN;Olomoucký;514055;40127;1;Kojetín;HESRIN;Olomoucký;A00;Produkce;0,025;200111
514055;40127;4;Kojetín;HESRIN;Olomoucký;514055;40127;4;Kojetín;HESRIN;Olomoucký;A00;Produkce;24,095;200111
517151;40144;4;Prosenice;HELTUN;Olomoucký;517151;40144;4;Prosenice;HELTUN;Olomoucký;A00;Produkce;3,063;200111
523704;40157;1;Šumperk;HESNIN;Olomoucký;523704;40157;1;Šumperk;HESNIN;Olomoucký;A00;Produkce;1,101;200111
528196;40165;4;Podveky;HEMBAN;Středočeský;528196;40165;4;Podveky;HEMBAN;Středočeský;A00;Produkce;1,1985;200111
529303;40166;1;Benešov;HEPBEN;Středočeský;529303;40166;1;Benešov;HEPBEN;Středočeský;A00;Produkce;0,37;200111
529303;40166;4;Benešov;HEPBEN;Středočeský;529303;40166;4;Benešov;HEPBEN;Středočeský;A00;Produkce;26,412;200111
529991;40175;4;Křečovice;HEMFAN;Středočeský;529991;40175;4;Křečovice;HEMFAN;Středočeský;A00;Produkce;1,281;200111
530085;40176;4;Bukovník;HEPFEN;Plzeňský;530085;40176;4;Bukovník;HEPFEN;Plzeňský;A00;Produkce;0,385;200111
530123;40179;4;Dobršín;HEZFUN;Plzeňský;530123;40179;4;Dobršín;HEZFUN;Plzeňský;A00;Produkce;1,27;200111
530310;40187;4;Neveklov;HESLIN;Středočeský;530310;40187;4;Neveklov;HESLIN;Středočeský;A00;Produkce;6,842;200111
530433;40190;4;Kunratice;HETMAN;Liberecký;530433;40190;4;Kunratice;HETMAN;Liberecký;A00;Produkce;1,8148;200111
530506;40193;4;Miřejovice;HEFMON;Ústecký;530506;40193;4;Miřejovice;HEFMON;Ústecký;A00;Produkce;0,843;200111
531057;40208;1;Beroun;HIVHOB;Středočeský;531057;40208;1;Beroun;HIVHOB;Středočeský;A00;Produkce;0,13;200111
531057;40208;4;Beroun;HIVHOB;Středočeský;531057;40208;4;Beroun;HIVHOB;Středočeský;A00;Produkce;31,72700195;200111
531138;40213;1;Cerhovice;HIFKOB;Středočeský;531138;40213;1;Cerhovice;HIFKOB;Středočeský;A00;Produkce;0,94;200111
531171;40215;4;Hlásná Třebaň;HIMKAB;Středočeský;531171;40215;4;Hlásná Třebaň;HIMKAB;Středočeský;A00;Produkce;2,65;200111
531201;40219;4;Hostomice;HIZKUB;Středočeský;531201;40219;4;Hostomice;HIZKUB;Středočeský;A00;Produkce;7,13223;200111
531456;40228;4;Liteň;HIVROB;Středočeský;531456;40228;4;Liteň;HIVROB;Středočeský;A00;Produkce;0,52715;200111
531545;40234;4;Mořina;HILDUB;Středočeský;531545;40234;4;Mořina;HILDUB;Středočeský;A00;Produkce;2,77;200111
531642;40241;4;Osov;HINTEB;Středočeský;531642;40241;4;Osov;HINTEB;Středočeský;A00;Produkce;0,16645;200111
531685;40242;4;Podluhy;HIBTIB;Středočeský;531685;40242;4;Podluhy;HIBTIB;Středočeský;A00;Produkce;1,21562;200111
531715;40244;4;Rpety;HILTUB;Středočeský;531715;40244;4;Rpety;HILTUB;Středočeský;A00;Produkce;1,11662;200111
531723;40245;4;Rudná;HIMTAB;Středočeský;531723;40245;4;Rudná;HIMTAB;Středočeský;A00;Produkce;21,758;200111
531855;40252;4;Tmaň;HIBNIB;Středočeský;531855;40252;4;Tmaň;HIBNIB;Středočeský;A00;Produkce;1,20568;200111
531910;40255;4;Velký Chlumec;HIMNAB;Středočeský;531910;40255;4;Velký Chlumec;HIMNAB;Středočeský;A00;Produkce;1,39354;200111
531961;40257;4;Vysoký Újezd;HISNIB;Středočeský;531961;40257;4;Vysoký Újezd;HISNIB;Středočeský;A00;Produkce;2,81;200111
532029;40260;1;Žebrák;HITBAB;Středočeský;532029;40260;1;Žebrák;HITBAB;Středočeský;A00;Produkce;40,98;200111
532053;40261;1;Kladno;HINBEB;Středočeský;532053;40261;1;Kladno;HINBEB;Středočeský;A00;Produkce;0,388;200111
