Evident;Evident_A;Evident_TypSubjektu;Evident_Nazev;Evident_Nazev_A;Evident_Kraj;Partner;Partner_A;Partner_TypSubjektu;Partner_Nazev;Partner_Nazev_A;Partner_Kraj;Kod;Indikator;Mnozstvi
500020;40001;4;Petrov nad Desnou;HANHET;Olomoucký;500020;40001;4;Petrov nad Desnou;HANHET;Olomoucký;A00;Produkce;2,289
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500020;40001;4;Petrov nad Desnou;HANHET;Olomoucký;Převzetí;Převzetí;2,289
500046;40002;4;Libhošť;HABHIT;Moravskoslezský;500046;40002;4;Libhošť;HABHIT;Moravskoslezský;A00;Produkce;3,943
500046;40002;4;Libhošť;HABHIT;Moravskoslezský;500046;40002;4;Libhošť;HABHIT;Moravskoslezský;Předání;Předání;3,943
500046;40002;4;Libhošť;HABHIT;Moravskoslezský;500046;40002;4;Libhošť;HABHIT;Moravskoslezský;Převzetí;Převzetí;3,943
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500046;40002;4;Libhošť;HABHIT;Moravskoslezský;Převzetí;Převzetí;3,943
500259;40004;4;Veřovice;HALHUT;Moravskoslezský;500259;40004;4;Veřovice;HALHUT;Moravskoslezský;A00;Produkce;2,381
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500259;40004;4;Veřovice;HALHUT;Moravskoslezský;Převzetí;Převzetí;2,381
500291;40005;4;Vřesina;HAMHAT;Moravskoslezský;500291;40005;4;Vřesina;HAMHAT;Moravskoslezský;A00;Produkce;4,771
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500291;40005;4;Vřesina;HAMHAT;Moravskoslezský;Převzetí;Převzetí;4,771
500496;40006;1;Olomouc;HAPHET;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;A00;Produkce;25,407
500496;40006;4;Olomouc;HAPHET;Olomoucký;500496;40006;4;Olomouc;HAPHET;Olomoucký;A00;Produkce;274,005
500496;40006;1;Olomouc;HAPHET;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;C00;Vyskladnění;0,66
554782;41269;1;Praha;KIZBUB;Hlavní město Praha;500496;40006;1;Olomouc;HAPHET;Olomoucký;Předání;Předání;0,0875
500496;40006;1;Olomouc;HAPHET;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;Předání;Předání;0,944
511382;40089;1;Přerov;HAZLUT;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;Předání;Předání;0,12
589250;42636;1;Prostějov;REPDEP;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;Předání;Předání;0,12
500496;40006;1;Olomouc;HAPHET;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;0,944
540862;40740;1;Rapotín;HITTAS;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;1,5205
554821;41277;1;Ostrava;KISFIB;Moravskoslezský;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;0,241
585068;42453;1;Zlín;RUFNOL;Zlínský;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;0,17
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500496;40006;4;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;274,005
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;24,416
587711;42565;1;Polná;RAMBAM;Vysočina;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;0,017
589250;42636;1;Prostějov;REPDEP;Olomoucký;500496;40006;1;Olomouc;HAPHET;Olomoucký;Převzetí;Převzetí;0,03
500526;40008;4;Bělkovice-Lašťany;HAVHOT;Olomoucký;500526;40008;4;Bělkovice-Lašťany;HAVHOT;Olomoucký;A00;Produkce;2,34
544477;40846;1;Stráž nad Nisou;HOPTEV;Liberecký;500526;40008;4;Bělkovice-Lašťany;HAVHOT;Olomoucký;Převzetí;Převzetí;2,34
500623;40009;4;Bílá Lhota;HAZHUT;Olomoucký;500623;40009;4;Bílá Lhota;HAZHUT;Olomoucký;A00;Produkce;3,856
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500623;40009;4;Bílá Lhota;HAZHUT;Olomoucký;Převzetí;Převzetí;3,856
500801;40010;4;Blatec;HATKAT;Olomoucký;500801;40010;4;Blatec;HATKAT;Olomoucký;A00;Produkce;1,78
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500801;40010;4;Blatec;HATKAT;Olomoucký;Převzetí;Převzetí;1,78
500852;40011;4;Bohuňovice;HANKET;Olomoucký;500852;40011;4;Bohuňovice;HANKET;Olomoucký;A00;Produkce;10,783
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500852;40011;4;Bohuňovice;HANKET;Olomoucký;Převzetí;Převzetí;10,783
500861;40012;4;Bouzov;HABKIT;Olomoucký;500861;40012;4;Bouzov;HABKIT;Olomoucký;A00;Produkce;2,564
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500861;40012;4;Bouzov;HABKIT;Olomoucký;Převzetí;Převzetí;2,564
500879;40013;4;Bystročice;HAFKOT;Olomoucký;500879;40013;4;Bystročice;HAFKOT;Olomoucký;A00;Produkce;1,392
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;500879;40013;4;Bystročice;HAFKOT;Olomoucký;Převzetí;Převzetí;1,392
501476;40014;4;Dlouhá Loučka;HALKUT;Olomoucký;501476;40014;4;Dlouhá Loučka;HALKUT;Olomoucký;A00;Produkce;2,486
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;501476;40014;4;Dlouhá Loučka;HALKUT;Olomoucký;Převzetí;Převzetí;2,486
501751;40015;4;Drahanovice;HAMKAT;Olomoucký;501751;40015;4;Drahanovice;HAMKAT;Olomoucký;A00;Produkce;3,512
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;501751;40015;4;Drahanovice;HAMKAT;Olomoucký;Převzetí;Převzetí;3,512
501794;40016;4;Dub nad Moravou;HAPKET;Olomoucký;501794;40016;4;Dub nad Moravou;HAPKET;Olomoucký;A00;Produkce;4,774
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;501794;40016;4;Dub nad Moravou;HAPKET;Olomoucký;Převzetí;Převzetí;4,774
501841;40017;4;Grygov;HASKIT;Olomoucký;501841;40017;4;Grygov;HASKIT;Olomoucký;A00;Produkce;4,391
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;501841;40017;4;Grygov;HASKIT;Olomoucký;Převzetí;Převzetí;4,391
502146;40018;4;Hlubočky;HAVKOT;Olomoucký;502146;40018;4;Hlubočky;HAVKOT;Olomoucký;A00;Produkce;15,952
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;502146;40018;4;Hlubočky;HAVKOT;Olomoucký;Převzetí;Převzetí;15,952
502235;40019;4;Hněvotín;HAZKUT;Olomoucký;502235;40019;4;Hněvotín;HAZKUT;Olomoucký;A00;Produkce;3,34
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;502235;40019;4;Hněvotín;HAZKUT;Olomoucký;Převzetí;Převzetí;3,34
502405;40020;4;Hnojice;HATRAT;Olomoucký;502405;40020;4;Hnojice;HATRAT;Olomoucký;A00;Produkce;2,028
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;502405;40020;4;Hnojice;HATRAT;Olomoucký;Převzetí;Převzetí;2,028
502839;40021;4;Cholina;HANRET;Olomoucký;502839;40021;4;Cholina;HANRET;Olomoucký;A00;Produkce;2,7
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;502839;40021;4;Cholina;HANRET;Olomoucký;Převzetí;Převzetí;2,7
503304;40022;4;Kožušany-Tážaly;HABRIT;Olomoucký;503304;40022;4;Kožušany-Tážaly;HABRIT;Olomoucký;A00;Produkce;5,418
544477;40846;1;Stráž nad Nisou;HOPTEV;Liberecký;503304;40022;4;Kožušany-Tážaly;HABRIT;Olomoucký;Převzetí;Převzetí;3,041
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;503304;40022;4;Kožušany-Tážaly;HABRIT;Olomoucký;Převzetí;Převzetí;2,377
503444;40023;4;Litovel;HAFROT;Olomoucký;503444;40023;4;Litovel;HAFROT;Olomoucký;A00;Produkce;35,765
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;503444;40023;4;Litovel;HAFROT;Olomoucký;Převzetí;Převzetí;35,765
503622;40024;4;Luká;HALRUT;Olomoucký;503622;40024;4;Luká;HALRUT;Olomoucký;A00;Produkce;2,662
544477;40846;1;Stráž nad Nisou;HOPTEV;Liberecký;503622;40024;4;Luká;HALRUT;Olomoucký;Převzetí;Převzetí;2,662
503657;40025;4;Lutín;HAMRAT;Olomoucký;503657;40025;4;Lutín;HAMRAT;Olomoucký;A00;Produkce;13,925
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;503657;40025;4;Lutín;HAMRAT;Olomoucký;Převzetí;Převzetí;13,925
503738;40026;4;Majetín;HAPRET;Olomoucký;503738;40026;4;Majetín;HAPRET;Olomoucký;A00;Produkce;4,763
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;503738;40026;4;Majetín;HAPRET;Olomoucký;Převzetí;Převzetí;4,763
503916;40027;4;Kostelec;HASRIT;Plzeňský;503916;40027;4;Kostelec;HASRIT;Plzeňský;A00;Produkce;4,692
544477;40846;1;Stráž nad Nisou;HOPTEV;Liberecký;503916;40027;4;Kostelec;HASRIT;Plzeňský;Převzetí;Převzetí;1,373
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;503916;40027;4;Kostelec;HASRIT;Plzeňský;Převzetí;Převzetí;3,319
504246;40028;4;Mladeč;HAVROT;Olomoucký;504246;40028;4;Mladeč;HAVROT;Olomoucký;A00;Produkce;2,526
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;504246;40028;4;Mladeč;HAVROT;Olomoucký;Převzetí;Převzetí;2,526
504441;40029;4;Náklo;HAZRUT;Olomoucký;504441;40029;4;Náklo;HAZRUT;Olomoucký;A00;Produkce;6,308
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;504441;40029;4;Náklo;HAZRUT;Olomoucký;Převzetí;Převzetí;6,308
504921;40031;4;Třibřichy;HANDET;Pardubický;504921;40031;4;Třibřichy;HANDET;Pardubický;A00;Produkce;1,241
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;504921;40031;4;Třibřichy;HANDET;Pardubický;Převzetí;Převzetí;1,241
505005;40032;4;Bítovany;HABDIT;Pardubický;505005;40032;4;Bítovany;HABDIT;Pardubický;A00;Produkce;1,562
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;505005;40032;4;Bítovany;HABDIT;Pardubický;Převzetí;Převzetí;1,562
505099;40033;4;Červená Hora;HAFDOT;Královehradecký;505099;40033;4;Červená Hora;HAFDOT;Královehradecký;A00;Produkce;1,336
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;505099;40033;4;Červená Hora;HAFDOT;Královehradecký;Převzetí;Převzetí;1,336
505161;40035;4;Štěpánov;HAMDAT;Olomoucký;505161;40035;4;Štěpánov;HAMDAT;Olomoucký;A00;Produkce;10,763
581372;42300;1;Boskovice;ROTHAF;Jihomoravský;505161;40035;4;Štěpánov;HAMDAT;Olomoucký;Převzetí;Převzetí;10,763
505218;40037;4;Šumvald;HASDIT;Olomoucký;505218;40037;4;Šumvald;HASDIT;Olomoucký;A00;Produkce;4,398
