Evident_ZUJ_Cislo;Evident_ZUJ_Nazev;Evident_ZUJ_Cislo_A;Evident_ZUJ_Nazev_A;Evident_ORP_Nazev;Evident_ORP_Cislo;Evident_Kraj_Nazev;Evident_Kraj_Cislo;Evident_TypSubjektu;Partner_ZUJ_Cislo;Partner_ZUJ_Nazev;Partner_ZUJ_Cislo_A;Partner_ZUJ_Nazev_A;Partner_ORP_Nazev;Partner_ORP_Cislo;Partner_Kraj_Nazev;Partner_Kraj_Cislo;Partner_TypSubjektu;Kod;Indikator;Mnozstvi
500020;Petrov nad Desnou;40001;HANHET;Šumperk;7111;Olomoucký kraj;CZ071;4;500020;Petrov nad Desnou;40001;HANHET;Šumperk;7111;Olomoucký kraj;CZ071;4;A00;Produkce;2,289
581372;Boskovice;42300;ROTHAF;Boskovice;6202;Jihomoravský kraj;CZ064;1;500020;Petrov nad Desnou;40001;HANHET;Šumperk;7111;Olomoucký kraj;CZ071;4;Převzetí;Převzetí;2,289
500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;A00;Produkce;3,943
500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;Předání;Předání;3,943
500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;Převzetí;Převzetí;3,943
581372;Boskovice;42300;ROTHAF;Boskovice;6202;Jihomoravský kraj;CZ064;1;500046;Libhošť;40002;HABHIT;Nový Jičín;8115;Moravskoslezský kraj;CZ080;4;Převzetí;Převzetí;3,943
500259;Veřovice;40004;HALHUT;Frenštát pod Radhoštěm;8105;Moravskoslezský kraj;CZ080;4;500259;Veřovice;40004;HALHUT;Frenštát pod Radhoštěm;8105;Moravskoslezský kraj;CZ080;4;A00;Produkce;2,381
581372;Boskovice;42300;ROTHAF;Boskovice;6202;Jihomoravský kraj;CZ064;1;500259;Veřovice;40004;HALHUT;Frenštát pod Radhoštěm;8105;Moravskoslezský kraj;CZ080;4;Převzetí;Převzetí;2,381
500291;Vřesina;40005;HAMHAT;Ostrava;8119;Moravskoslezský kraj;CZ080;4;500291;Vřesina;40005;HAMHAT;Ostrava;8119;Moravskoslezský kraj;CZ080;4;A00;Produkce;4,771
581372;Boskovice;42300;ROTHAF;Boskovice;6202;Jihomoravský kraj;CZ064;1;500291;Vřesina;40005;HAMHAT;Ostrava;8119;Moravskoslezský kraj;CZ080;4;Převzetí;Převzetí;4,771
500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;A00;Produkce;25,407
500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;4;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;4;A00;Produkce;274,005
500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;C00;Vyskladnění;0,66
554782;Praha;41269;KIZBUB;Praha;1000;Hlavní město Praha;CZ010;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Předání;Předání;0,0875
500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Předání;Předání;0,944
511382;Přerov;40089;HAZLUT;Přerov;7109;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Předání;Předání;0,12
589250;Prostějov;42636;REPDEP;Prostějov;7108;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Předání;Předání;0,12
500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Převzetí;Převzetí;0,944
540862;Rapotín;40740;HITTAS;Šumperk;7111;Olomoucký kraj;CZ071;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Převzetí;Převzetí;1,5205
554821;Ostrava;41277;KISFIB;Ostrava;8119;Moravskoslezský kraj;CZ080;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Převzetí;Převzetí;0,241
585068;Zlín;42453;RUFNOL;Zlín;7213;Zlínský kraj;CZ072;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Převzetí;Převzetí;0,17
581372;Boskovice;42300;ROTHAF;Boskovice;6202;Jihomoravský kraj;CZ064;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;4;Převzetí;Převzetí;274,005
581372;Boskovice;42300;ROTHAF;Boskovice;6202;Jihomoravský kraj;CZ064;1;500496;Olomouc;40006;HAPHET;Olomouc;7107;Olomoucký kraj;CZ071;1;Převzetí;Převzetí;24,416
