Evident;Evident_A;Evident_TypSubjektu;Evident_Nazev;Evident_Nazev_A;Evident_Kraj;Partner;Partner_A;Partner_TypSubjektu;Partner_Nazev;Partner_Nazev_A;Partner_Kraj;Kod;Indikator;Mnozstvi
554782;41269;1;Praha;KIZBUB;Hlavní město Praha;554782;41269;1;Praha;KIZBUB;Hlavní město Praha;A00;Produkce;39,11
500071;40003;4;Poličná;HAFHOT;Zlínský kraj;500071;40003;4;Poličná;HAFHOT;Zlínský;A00;Produkce;4,731
500496;40006;1;Olomouc;HAPHET;Olomoucký kraj;500496;40006;1;Olomouc;HAPHET;Olomoucký;A00;Produkce;297,116
554804;41273;1;Ústí nad Labem;KIFFOB;Ústecký kraj;554804;41273;1;Ústí nad Labem;KIFFOB;Ústecký;A00;Produkce;2,215
504785;40030;4;Paseka;HATDAT;Olomoucký kraj;504785;40030;4;Paseka;HATDAT;Olomoucký;A00;Produkce;3,166
505269;40038;4;Těšetice;HAVDOT;Olomoucký kraj;505269;40038;4;Těšetice;HAVDOT;Olomoucký;A00;Produkce;2,997
506737;40054;1;Chvalčov;HALNUT;Zlínský kraj;506737;40054;1;Chvalčov;HALNUT;Zlínský;A00;Produkce;0,183
507016;40055;1;Hlučín;HAMNAT;Moravskoslezský kraj;507016;40055;1;Hlučín;HAMNAT;Moravskoslezský;A00;Produkce;33,40289319
508501;40071;4;Lužnice;HANFET;Jihočeský kraj;508501;40071;4;Lužnice;HANFET;Jihočeský;A00;Produkce;3,5312
511382;40089;1;Přerov;HAZLUT;Olomoucký kraj;511382;40089;1;Přerov;HAZLUT;Olomoucký;A00;Produkce;6,2855
513491;40115;4;Horní Moštěnice;HEMKAN;Olomoucký kraj;513491;40115;4;Horní Moštěnice;HEMKAN;Olomoucký;A00;Produkce;6,014
513750;40123;1;Hranice;HEFRON;Olomoucký kraj;513750;40123;1;Hranice;HEFRON;Olomoucký;A00;Produkce;0,02
513768;40125;4;Hustopeče nad Bečvou;HEMRAN;Olomoucký kraj;513768;40125;4;Hustopeče nad Bečvou;HEMRAN;Olomoucký;A00;Produkce;5,912
514055;40127;1;Kojetín;HESRIN;Olomoucký kraj;514055;40127;1;Kojetín;HESRIN;Olomoucký;A00;Produkce;0,025
514055;40127;4;Kojetín;HESRIN;Olomoucký kraj;514055;40127;4;Kojetín;HESRIN;Olomoucký;A00;Produkce;24,095
517151;40144;4;Prosenice;HELTUN;Olomoucký kraj;517151;40144;4;Prosenice;HELTUN;Olomoucký;A00;Produkce;3,063
523704;40157;1;Šumperk;HESNIN;Olomoucký kraj;523704;40157;1;Šumperk;HESNIN;Olomoucký;A00;Produkce;1,101
