Cesta;Kategorie;PuvodOdpadu;Kod;MnozstviOdpadu;Partner;Operator;Navyseni_Ubytek
Původ odpadů;Původ odpadů;Produkce odpadu (vlastní vyprodukovaný odpad);A00;(+);NE;+;1
Původ odpadů;Původ odpadů;Odpad převzatý od původce, jiné oprávněné osoby (sběr, výkup, shromažďování), nebo jiné provozovny;B00;(+);ANO;+;1
Původ odpadů;Původ odpadů;Množství odpadu převedené z minulého roku (zůstatek na skladu k 1. lednu vykazovaného roku);C00;(+);NE;+;1
Způsob nakládání s odpady;Využívání odpadů;Využití odpadu způsobem obdobným jako paliva nebo jiným způsobem k výrobě energie;XR1;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Získání /regenerace rozpouštědel;XR2;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Získání/regenerace organických látek, které se nepoužívají jako rozpouštědla (včetně biologických procesů mimo kompostování a biologickou dekontaminaci);XR3;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Recyklace/znovuzískání kovů a kovových sloučenin;XR4;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Recyklace/znovuzískání ostatních anorganických materiálů;XR5;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Regenerace kyselin a zásad;XR6;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Obnova látek používaných ke snižování znečištění;XR7;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Získání složek katalyzátorů;XR8;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Rafinace použitých olejů nebo jiný způsob opětného použití olejů;XR9;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Aplikace do půdy, která je přínosem pro zemědělství nebo zlepšuje ekologii;XR10;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Využití odpadů, které vznikly aplikací některého z postupů uvedených pod označením R1 až R10;XR11;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Předúprava odpadů k aplikaci některého z postupů uvedených pod označením R1 až R11;XR12;(-);NE;-;-1
Způsob nakládání s odpady;Využívání odpadů;Skladování materiálů před aplikací některého z postupů uvedených pod označením R1 až R12 (s výjimkou dočasného skladování na místě vzniku před sběrem) k 31. prosinci vykazovaného roku;XR13;(-);NE;-;-1
Způsob nakládání s odpady;Odstraňování odpadů;Ukládání v úrovni nebo pod úrovní terénu (skládkování);XD1;(-);NE;-;-1
Způsob nakládání s odpady;Odstraňování odpadů;Úprava půdními procesy (např. biologický rozklad kapalných odpadů či kalů v půdě, apod.);XD2;(-);NE;-;-1
Způsob nakládání s odpady;Odstraňování odpadů;Hlubinná injektáž (např. injektáž čerpatelných kapalných odpadů do vrtů, solných komor nebo prostor přírodního původu, apod.);XD3;(-);NE;-;-1
Způsob nakládání s odpady;Odstraňování odpadů;Ukládání do povrchových nádrží (např. vypouštění kapalných odpadů nebo kalů do prohlubní, vodních nádrží, lagun, apod.);XD4;(-);NE;-;-1
Způsob nakládání s odpady;Odstraňování odpadů;Ukládání do speciálně technicky provedených skládek (např. ukládání do oddělených, utěsněných, zavřených prostor izolovaných navzájem i od okolního prostředí, apod.);XD5;(-);NE;-;-1
Způsob nakládání s odpady;Odstraňování odpadů;Biologická úprava jinde v této příloze nespecifikovaná, jejímž konečným produktem jsou sloučeniny nebo směsi, které se odstraňují některým z postupů uvedených pod označením Dl až D12;XD8;(-);NE;-;-1
