ZUJ_Cislo;ZUJ_Nazev;Kraj_Cislo;Kraj_Nazev;ORP_Cislo;ORP_Nazev;KOD;Pocet_Obyvatel
554782;Praha;CZ010;Hlavní město Praha;1000;Praha;19;1275406
529303;Benešov;CZ020;Středočeský kraj;2101;Benešov;27;16448
532924;Bukovany;CZ020;Středočeský kraj;2101;Benešov;27;769
529451;Bystřice;CZ020;Středočeský kraj;2101;Benešov;27;4456
529478;Čakov;CZ020;Středočeský kraj;2101;Benešov;27;132
529516;Čerčany;CZ020;Středočeský kraj;2101;Benešov;27;2923
529541;Český Šternberk;CZ020;Středočeský kraj;2101;Benešov;27;163
529567;Čtyřkoly;CZ020;Středočeský kraj;2101;Benešov;27;751
529621;Divišov;CZ020;Středočeský kraj;2101;Benešov;27;1739
532151;Drahňovice;CZ020;Středočeský kraj;2101;Benešov;27;107
529745;Hvězdonice;CZ020;Středočeský kraj;2101;Benešov;27;330
532886;Chářovice;CZ020;Středočeský kraj;2101;Benešov;27;218
532878;Chleby;CZ020;Středočeský kraj;2101;Benešov;27;45
532045;Chlístov;CZ020;Středočeský kraj;2101;Benešov;27;428
529796;Chocerady;CZ020;Středočeský kraj;2101;Benešov;27;1281
532606;Choratice;CZ020;Středočeský kraj;2101;Benešov;27;69
529818;Chotýšany;CZ020;Středočeský kraj;2101;Benešov;27;604
532037;Chrášťany;CZ020;Středočeský kraj;2101;Benešov;27;234
529940;Kozmice;CZ020;Středočeský kraj;2101;Benešov;27;392
529958;Krhanice;CZ020;Středočeský kraj;2101;Benešov;27;1044
529974;Krňany;CZ020;Středočeský kraj;2101;Benešov;27;480
529991;Křečovice;CZ020;Středočeský kraj;2101;Benešov;27;814
530051;Lešany;CZ020;Středočeský kraj;2101;Benešov;27;813
532258;Litichovice;CZ020;Středočeský kraj;2101;Benešov;27;73
532193;Lštění;CZ020;Středočeský kraj;2101;Benešov;27;426
530115;Maršovice;CZ020;Středočeský kraj;2101;Benešov;27;749
530204;Mrač;CZ020;Středočeský kraj;2101;Benešov;27;831
