Evident_ZUJ_Cislo;Evident_ZUJ_Nazev;Evident_Kraj_Cislo;Evident_Kraj_Nazev;Evident_ORP_Cislo;Evident_ORP_Nazev;Pocet_Obyvatel
554782;Praha;CZ010;Hlavní město Praha;1000;Praha;1275406
529303;Benešov;CZ020;Středočeský kraj;2101;Benešov;16448
532924;Bukovany;CZ020;Středočeský kraj;2101;Benešov;769
529451;Bystřice;CZ020;Středočeský kraj;2101;Benešov;4456
529478;Čakov;CZ020;Středočeský kraj;2101;Benešov;132
529516;Čerčany;CZ020;Středočeský kraj;2101;Benešov;2923
529541;Český Šternberk;CZ020;Středočeský kraj;2101;Benešov;163
529567;Čtyřkoly;CZ020;Středočeský kraj;2101;Benešov;751
529621;Divišov;CZ020;Středočeský kraj;2101;Benešov;1739
532151;Drahňovice;CZ020;Středočeský kraj;2101;Benešov;107
529745;Hvězdonice;CZ020;Středočeský kraj;2101;Benešov;330
532886;Chářovice;CZ020;Středočeský kraj;2101;Benešov;218
532878;Chleby;CZ020;Středočeský kraj;2101;Benešov;45
532045;Chlístov;CZ020;Středočeský kraj;2101;Benešov;428
529796;Chocerady;CZ020;Středočeský kraj;2101;Benešov;1281
532606;Choratice;CZ020;Středočeský kraj;2101;Benešov;69
529818;Chotýšany;CZ020;Středočeský kraj;2101;Benešov;604
532037;Chrášťany;CZ020;Středočeský kraj;2101;Benešov;234
529940;Kozmice;CZ020;Středočeský kraj;2101;Benešov;392
529958;Krhanice;CZ020;Středočeský kraj;2101;Benešov;1044
529974;Krňany;CZ020;Středočeský kraj;2101;Benešov;480
529991;Křečovice;CZ020;Středočeský kraj;2101;Benešov;814
530051;Lešany;CZ020;Středočeský kraj;2101;Benešov;813
532258;Litichovice;CZ020;Středočeský kraj;2101;Benešov;73
532193;Lštění;CZ020;Středočeský kraj;2101;Benešov;426
530115;Maršovice;CZ020;Středočeský kraj;2101;Benešov;749
530204;Mrač;CZ020;Středočeský kraj;2101;Benešov;831
530263;Nespeky;CZ020;Středočeský kraj;2101;Benešov;765
530298;Netvořice;CZ020;Středočeský kraj;2101;Benešov;1163
530310;Neveklov;CZ020;Středočeský kraj;2101;Benešov;2691
530352;Ostředek;CZ020;Středočeský kraj;2101;Benešov;412
530409;Petroupim;CZ020;Středočeský kraj;2101;Benešov;315
532649;Popovice;CZ020;Středočeský kraj;2101;Benešov;282
530441;Poříčí nad Sázavou;CZ020;Středočeský kraj;2101;Benešov;1441
530450;Postupice;CZ020;Středočeský kraj;2101;Benešov;1374
530492;Přestavlky u Čerčan;CZ020;Středočeský kraj;2101;Benešov;415
538680;Pyšely;CZ020;Středočeský kraj;2101;Benešov;2108
530522;Rabyně;CZ020;Středočeský kraj;2101;Benešov;268
538710;Řehenice;CZ020;Středočeský kraj;2101;Benešov;443
534382;Sázava;CZ020;Středočeský kraj;2101;Benešov;3702
530638;Soběhrdy;CZ020;Středočeský kraj;2101;Benešov;435
599379;Stranný;CZ020;Středočeský kraj;2101;Benešov;115
530689;Struhařov;CZ020;Středočeský kraj;2101;Benešov;953
530760;Teplýšovice;CZ020;Středočeský kraj;2101;Benešov;527
532592;Tisem;CZ020;Středočeský kraj;2101;Benešov;226
532304;Třebešice;CZ020;Středočeský kraj;2101;Benešov;106
530841;Týnec nad Sázavou;CZ020;Středočeský kraj;2101;Benešov;5667
532061;Václavice;CZ020;Středočeský kraj;2101;Benešov;614
532614;Vodslivy;CZ020;Středočeský kraj;2101;Benešov;100
