Kod_Okresu;Kod_Obce;Nazev_Obce;Pocet_Obyvatel
CZ0100;554782;Praha;1259413
CZ0201;529303;Benešov;16525
CZ0201;532568;Bernartice;227
CZ0201;530743;Bílkovice;215
CZ0201;532380;Blažejovice;101
CZ0201;532096;Borovnice;82
CZ0201;532924;Bukovany;762
CZ0201;529451;Bystřice;4433
CZ0201;532690;Ctiboř;152
CZ0201;529478;Čakov;129
CZ0201;529486;Čechtice;1390
CZ0201;529516;Čerčany;2874
CZ0201;529532;Červený Újezd;346
CZ0201;529541;Český Šternberk;171
CZ0201;529567;Čtyřkoly;714
CZ0201;532746;Děkanovice;60
CZ0201;529621;Divišov;1747
CZ0201;529648;Dolní Kralovice;877
CZ0201;532151;Drahňovice;99
CZ0201;532843;Dunice;67
CZ0201;529702;Heřmaničky;717
CZ0201;532932;Hradiště;28
CZ0201;529737;Hulice;276
CZ0201;529745;Hvězdonice;330
CZ0201;532886;Chářovice;212
CZ0201;532878;Chleby;45
CZ0201;532045;Chlístov;402
CZ0201;529770;Chlum;122
CZ0201;529788;Chmelná;149
CZ0201;529796;Chocerady;1255
CZ0201;532606;Choratice;70
CZ0201;529818;Chotýšany;589
CZ0201;532037;Chrášťany;232
CZ0201;529842;Jankov;897
CZ0201;529851;Javorník;122
CZ0201;532134;Ješetice;128
CZ0201;531031;Kamberk;142
CZ0201;529907;Keblov;183
CZ0201;533084;Kladruby;270
CZ0201;529931;Kondrac;518
CZ0201;529940;Kozmice;346
CZ0201;529958;Krhanice;1027
CZ0201;529974;Krňany;461
CZ0201;529991;Křečovice;817
CZ0201;530000;Křivsoudov;439
CZ0201;530026;Kuňovice;90
CZ0201;530051;Lešany;797
CZ0201;530069;Libež;226
CZ0201;532258;Litichovice;70
CZ0201;530093;Loket;584
CZ0201;530107;Louňovice pod Blaníkem;672
CZ0201;532193;Lštění;413
CZ0201;530115;Maršovice;747
CZ0201;530158;Mezno;372
CZ0201;530166;Miličín;823
CZ0201;530174;Miřetice;197
CZ0201;530191;Mnichovice;214
CZ0201;530204;Mrač;841
CZ0201;530212;Načeradec;1058
CZ0201;530263;Nespeky;751
CZ0201;530298;Netvořice;1178
CZ0201;530301;Neustupov;561
CZ0201;530310;Neveklov;2660
CZ0201;530344;Olbramovice;1308
CZ0201;599395;Ostrov;59
CZ0201;530352;Ostředek;391
CZ0201;533076;Pavlovice;249
CZ0201;530409;Petroupim;314
CZ0201;532649;Popovice;274
CZ0201;530441;Poříčí nad Sázavou;1395
CZ0201;530450;Postupice;1379
CZ0201;530476;Pravonín;561
CZ0201;530492;Přestavlky u Čerčan;398
CZ0201;530514;Psáře;132
CZ0201;538680;Pyšely;2054
CZ0201;530522;Rabyně;268
CZ0201;530531;Radošovice;393
CZ0201;530549;Rataje;161
CZ0201;532550;Ratměřice;297
CZ0201;538710;Řehenice;441
CZ0201;532941;Řimovice;233
CZ0201;534382;Sázava;3720
CZ0201;532231;Slověnice;35
CZ0201;530611;Smilkov;261
