Kraj_Cislo;Kraj_Nazev;ORP_Cislo;ORP_Nazev; Pocet_Obyvatel 
CZ010;Hlavní město Praha;1000;Praha; 1 275 406 
CZ020;Středočeský kraj;2101;Benešov; 61 122 
CZ020;Středočeský kraj;2102;Beroun; 66 476 
CZ020;Středočeský kraj;2103;Brandýs n. Lab.-St.Boleslav; 114 553 
CZ020;Středočeský kraj;2104;Čáslav; 25 716 
CZ020;Středočeský kraj;2105;Černošice; 151 093 
CZ020;Středočeský kraj;2106;Český Brod; 19 766 
CZ020;Středočeský kraj;2107;Dobříš; 23 359 
CZ020;Středočeský kraj;2108;Hořovice; 30 148 
CZ020;Středočeský kraj;2109;Kladno; 123 904 
CZ020;Středočeský kraj;2110;Kolín; 84 128 
CZ020;Středočeský kraj;2111;Kralupy nad Vltavou; 32 665 
CZ020;Středočeský kraj;2112;Kutná Hora; 49 967 
CZ020;Středočeský kraj;2113;Lysá nad Labem; 29 537 
CZ020;Středočeský kraj;2114;Mělník; 44 757 
CZ020;Středočeský kraj;2115;Mladá Boleslav; 109 665 
CZ020;Středočeský kraj;2116;Mnichovo Hradiště; 17 927 
CZ020;Středočeský kraj;2117;Neratovice; 31 932 
CZ020;Středočeský kraj;2118;Nymburk; 40 221 
CZ020;Středočeský kraj;2119;Poděbrady; 31 362 
CZ020;Středočeský kraj;2120;Příbram; 69 222 
CZ020;Středočeský kraj;2121;Rakovník; 54 898 
CZ020;Středočeský kraj;2122;Říčany; 73 831 
CZ020;Středočeský kraj;2123;Sedlčany; 21 785 
CZ020;Středočeský kraj;2124;Slaný; 40 589 
CZ020;Středočeský kraj;2125;Vlašim; 25 744 
CZ020;Středočeský kraj;2126;Votice; 12 457 
CZ031;Jihočeský kraj;3101;Blatná; 13 328 
CZ031;Jihočeský kraj;3102;České Budějovice; 162 394 
CZ031;Jihočeský kraj;3103;Český Krumlov; 40 714 
CZ031;Jihočeský kraj;3104;Dačice; 18 396 
CZ031;Jihočeský kraj;3105;Jindřichův Hradec; 46 461 
CZ031;Jihočeský kraj;3106;Kaplice; 19 382 
CZ031;Jihočeský kraj;3107;Milevsko; 18 025 
CZ031;Jihočeský kraj;3108;Písek; 52 744 
CZ031;Jihočeský kraj;3109;Prachatice; 33 078 
CZ031;Jihočeský kraj;3110;Soběslav; 21 927 
CZ031;Jihočeský kraj;3111;Strakonice; 44 662 
CZ031;Jihočeský kraj;3112;Tábor; 79 436 
CZ031;Jihočeský kraj;3113;Trhové Sviny; 19 234 
CZ031;Jihočeský kraj;3114;Třeboň; 24 426 
CZ031;Jihočeský kraj;3115;Týn nad Vltavou; 13 905 
CZ031;Jihočeský kraj;3116;Vimperk; 17 152 
CZ031;Jihočeský kraj;3117;Vodňany; 11 783 
CZ032;Plzeňský kraj;3201;Blovice; 12 200 
CZ032;Plzeňský kraj;3202;Domažlice; 39 785 
CZ032;Plzeňský kraj;3203;Horažďovice; 11 415 
CZ032;Plzeňský kraj;3204;Horšovský Týn; 14 606 
CZ032;Plzeňský kraj;3205;Klatovy; 49 748 
