OdpadNaObyv_g,ZUJ_Cislo,Pocet_Obyvatel,Evident_ZUJ_Cislo,Odpad_vKg,ZUJ_Nazev
78.27271070191678,554821,279791,554821,21900.0,OSTRAVA
8.86352598348713,569810,90596,569810,803.0,HRADEC KRÁLOVÉ
166.30153355905196,554804,90378,554804,15030.0,ÚSTÍ NAD LABEM
5.920245968707591,586846,50108,586846,296.651685,JIHLAVA
109.57863362749109,598810,34222,598810,3750.0,TŘINEC
425.99263200982404,592005,24430,592005,10407.0,Uherské Hradiště
0.990366435581165,550787,22214,550787,22.0,Strakonice
7.497945768282662,534676,19472,534676,146.0,Mělník
193.63351476166915,534951,18189,534951,3522.0,Kralupy nad Vltavou
21516.875237011758,555428,15822,555428,340440.0,Ostrov
1270256.0698053339,581372,11661,581372,14812456.03,Boskovice
199.28532160527763,598879,7276,598879,1450.0,Vratimov
10668.472535741159,558249,6645,558249,70892.0,Přeštice
1874.71317117944,560472,6537,560472,12255.0,Kraslice
148277.68729641693,584223,3684,584223,546255.0,Zbýšov
3619.1027496382058,559679,3455,559679,12504.0,Zruč-Senec
1465536.186770428,559661,2570,559661,3766428.0,Zbůch
2175373.717676982,544477,2359,544477,5131706.600000001,Stráž nad Nisou
225.01654533421575,560014,1511,560014,340.0,Mýto
59857.54985754986,572071,1404,572071,84040.0,Prachovice
52.71828665568369,535753,607,535753,32.0,Hůry
18471.001757469247,553018,569,553018,10510.0,Roudná
5481.349911190053,534838,563,534838,3086.0,Chorušice
12.371134020618555,561703,485,561703,6.0,Člunek
