obecKod,souradnice
576131,"[50.09505054163067, 16.089249722106842]"
573922,"[50.587779713631235, 16.33021464390211]"
574082,"[50.480483070917344, 16.181297806214516]"
577162,"[50.70325416139627, 15.429846275850794]"
577308,"[50.531591305801584, 15.372805868216096]"
573868,"[50.41632599883447, 16.163860372594378]"
579581,"[50.69347490654679, 15.733319249047264]"
576808,"[50.20463218347285, 16.238229404531502]"
579734,"[50.626021429145105, 15.816103646356355]"
574538,"[50.59481240233556, 16.169602605679103]"
579025,"[50.56169572563244, 15.916048124193866]"
577626,"[50.58667469399064, 15.157294158469961]"
579777,"[50.51024411733599, 16.018724873267256]"
539139,"[49.95886562515597, 14.320428123763934]"
,"[50.47665498094656, 16.092146885953714]"
573990,"[50.39586357412003, 16.04813923640712]"
562297,"[50.714052068320456, 14.396555271066521]"
587541,"[49.1897032518381, 15.375924100717826]"
589764,"[49.32542466779105, 17.172750749538757]"
574287,"[50.35749661494795, 16.243521859166027]"
590100,"[49.3076423952368, 17.166321173719545]"
538884,"[50.04588037122088, 14.729868474869866]"
554979,"[50.368883005030845, 12.817053644576301]"
581291,"[49.30135480129541, 16.65471708818542]"
551929,"[50.060529339703734, 17.390782628609273]"
554499,"[50.22229018615542, 12.1902637505984]"
535427,"[50.481474144699455, 14.935613396012739]"
550809,"[49.121113213429325, 14.078099626714877]"
552054,"[49.2941390710336, 14.468698684349068]"
529303,"[49.78387597376826, 14.69001734190856]"
562351,"[50.74174379637148, 14.311297888855997]"
535451,"[50.29091382516918, 14.822406765627326]"
531057,"[49.964310741468225, 14.074668761711493]"
560740,"[49.90677671621103, 12.968705349846845]"
554995,"[50.08432616303356, 12.839313894761956]"
581283,"[49.3634928468613, 16.643754401866264]"
550850,"[49.427361815163465, 13.880965343267379]"
557587,"[49.582233380364656, 13.540123730879985]"
566021,"[50.217424420255234, 13.472151404238703]"
555029,"[50.149780636821646, 13.04565170855597]"
599051,"[49.90392994517882, 18.357894263731495]"
564591,"[50.49340209231533, 14.151255565093315]"
592048,"[49.036714511051905, 17.81106586598919]"
560758,"[49.71197838675529, 12.775743518051536]"
544281,"[48.900189505196046, 14.641972169050282]"
581372,"[49.48719530510995, 16.66148532421102]"
506486,"[50.41079794649663, 12.922487359347826]"
538094,"[50.18612867610809, 14.658605097151623]"
579947,"[50.00043489576383, 16.288145451110935]"
586943,"[49.30400980737634, 15.678130979766127]"
585114,"[49.09128524706998, 18.02326051149129]"
597180,"[49.99341407230115, 17.471605908423534]"
598038,"[49.7003659405956, 18.22332332555532]"
506460,"[49.79476420931955, 17.62814257474341]"
564656,"[50.40384307465712, 14.126054885768596]"
592943,"[49.15010296855318, 17.00321225511914]"
532169,"[50.15520507112858, 14.19112379903425]"
577928,"[49.628510324832696, 16.346941754766448]"
529451,"[49.732188333595545, 14.666984653842833]"
595411,"[49.523611020025506, 16.257462396935868]"
588393,"[49.39999069086686, 17.67203753346488]"
586081,"[48.97361948177648, 17.266377138864726]"
567451,"[50.548916931333416, 13.774288485065016]"
599247,"[49.75628706286382, 18.015793671476793]"
553441,"[49.59132463639904, 12.71515893620335]"
535443,"[50.501598976171195, 14.801030283402424]"
550817,"[49.50296878377306, 13.875041281243181]"
584291,"[48.759727972094524, 16.88173075362985]"
540013,"[49.55768199042881, 13.950834655115493]"
560294,"[50.14686946624051, 12.646718294353382]"
505145,"[49.64629714041312, 16.517065639376494]"
597228,"[49.913427448078, 17.373057918653384]"
568007,"[50.673220743427876, 13.942113804063565]"
554481,"[50.079044300602305, 12.371098917846503]"
568015,"[50.699241074244966, 13.935912594104288]"
570109,"[50.15424534114394, 15.462218726509848]"
580350,"[50.00090945059203, 16.224397030522592]"
560383,"[50.23875560879417, 12.749281749481545]"
568759,"[49.7208340228189, 15.670237622678563]"
571539,"[49.900975893841284, 15.937143305464204]"
564117,"[50.816988404057035, 14.969568785912111]"
588512,"[49.3563215189327, 17.364513089456143]"
571164,"[49.95076012334811, 15.794777067488603]"
575071,"[50.03412688711602, 15.418543719588115]"
555207,"[50.10444558979917, 13.247760083084257]"
552496,"[49.40620202354585, 14.811040876206382]"
562530,"[50.86341535284908, 14.481598331317695]"
561479,"[50.77732185394927, 14.633977474468939]"
546127,"[49.08077482312979, 15.437690349896629]"
574899,"[50.02922381604654, 15.913802204180888]"
563552,"[50.75496744754685, 15.313880697222855]"
546151,"[49.26485704545006, 14.922134157828694]"
535672,"[50.36944949891036, 14.962239714718836]"
,"[50.292532922401776, 16.160319747954755]"
557676,"[49.65631446659226, 13.29063602818147]"
539198,"[49.927390927583154, 14.271678529693798]"
540111,"[49.78158112834576, 14.171438431992227]"
561495,"[50.56360255194224, 14.655257756239656]"
506702,"[49.916956723832115, 18.115352512638804]"
535702,"[50.438107400182794, 15.127570688182068]"
582956,"[49.06978347279578, 16.465561863368894]"
562441,"[50.9793935854558, 14.288301305684945]"
553425,"[49.44009830161082, 12.93025015968435]"
561533,"[50.539094162458994, 14.540971453619614]"
567507,"[50.676509348431296, 13.791358125006479]"
586161,"[48.917891184384, 17.095377402965187]"
567515,"[50.60182137181552, 13.74685436616299]"
579203,"[50.4317037371058, 15.814691795158627]"
554529,"[50.12316502873699, 12.353828889875313]"
599344,"[49.547079126883, 18.21163791670931]"
585211,"[49.28462427272714, 17.683543070559953]"
564028,"[50.92208946348944, 15.078480877259157]"
598143,"[49.59278400654551, 18.359538076755506]"
599352,"[49.71278558622124, 17.903012526240932]"
568635,"[49.81618440857238, 15.47667213218745]"
560359,"[50.18237789380213, 12.5499301856727]"
568651,"[49.756261514662434, 15.48444864727975]"
535532,"[50.078409550520895, 16.935004601130473]"
577081,"[50.77655208024879, 15.42447857284578]"
556181,"[49.1699549155473, 13.454820244742116]"
,"[49.60657784667021, 15.578582632241424]"
564044,"[50.87893210715291, 15.184062493331123]"
571385,"[49.94778722854795, 15.66997582068094]"
571393,"[49.75996866733506, 15.905566442621579]"
544485,"[49.051840890909084, 14.4354895723569]"
592170,"[48.98856734577581, 17.52720762521654]"
507016,"[49.896532164117545, 18.18765851486022]"
564061,"[50.66601892527621, 15.089934519401623]"
586021,"[48.84831958688238, 17.128362944505742]"
588458,"[49.33117142415626, 17.581311520460176]"
574988,"[50.06849386848797, 15.987750782042419]"
553654,"[49.59295064939193, 13.096881896103909]"
567167,"[50.605800017645336, 13.43835420071741]"
556254,"[49.32110986890224, 13.70116652778016]"
597350,"[49.96679351231013, 17.60289273968064]"
555169,"[50.390304207211514, 12.771247065956743]"
558885,"[49.84125142490506, 13.35708244990175]"
547913,"[49.31949229806188, 15.328332614855618]"
574996,"[50.04893447441736, 16.08394807207049]"
567175,"[50.57513691300272, 13.544385662258303]"
545511,"[48.76658297987642, 14.032186372747544]"
560367,"[50.13873216158093, 12.800251989878571]"
553671,"[49.52997646130138, 12.94477097563859]"
579297,"[50.54113159094065, 15.722636540752148]"
539244,"[50.08050127029868, 14.255561453317267]"
531201,"[49.82496460086069, 14.045375964505013]"
553689,"[49.55937729527257, 12.771783086121953]"
572926,"[50.36750431595705, 15.63239715191334]"
531189,"[49.836314540334314, 13.903741704910905]"
564877,"[50.48942462987913, 14.335494656191079]"
507270,"[49.87742448401107, 17.877172712925756]"
554553,"[50.306048844570874, 12.17536092679679]"
513750,"[49.550097230083246, 17.73473965899145]"
567558,"[50.656927592457215, 13.725953831359606]"
