ORP_Nazev_Evident,Indikator,Mnozstvi
Benešov,Produkce,38.074
Beroun,Produkce,78.72327495
Blansko,Produkce,25.834
Blatná,Produkce,13.008220663
Boskovice,Produkce,20.139273969999998
Brandýs nad Labem-Stará Boleslav,Produkce,219.983
Brno,Produkce,31.496
Broumov,Produkce,979.163
Bruntál,Produkce,2.742
Bučovice,Produkce,6.522944784999999
Bystřice nad Pernštejnem,Produkce,0.04
Bystřice pod Hostýnem,Produkce,0.183
Bílina,Produkce,25.853
Cheb,Produkce,28.962
Chomutov,Produkce,178.13155
Chotěboř,Produkce,3.1
Chrudim,Produkce,41.722647059
Dobruška,Produkce,45.7911
Dobříš,Produkce,25.151677
Domažlice,Produkce,268.01
Děčín,Produkce,167.01
Frenštát pod Radhoštěm,Produkce,9.171
Frýdek-Místek,Produkce,0.532
Frýdlant,Produkce,62.4043
Frýdlant nad Ostravicí,Produkce,0.14
Havlíčkův Brod,Produkce,4.718999999999999
Hlinsko,Produkce,26.428
Hlučín,Produkce,35.44289319
Hodonín,Produkce,25.093999999999998
Holešov,Produkce,59.02100000000001
Holice,Produkce,25.549
Horažďovice,Produkce,31.261
Horšovský Týn,Produkce,4.111
Hořice,Produkce,27.508
Hořovice,Produkce,77.6531
Hradec Králové,Produkce,578.4699942
Hranice,Produkce,5.9319999999999995
Hustopeče,Produkce,34.812
Jablonec nad Nisou,Produkce,10.4625
Jaroměř,Produkce,22.01
Jeseník,Produkce,4.26
Jihlava,Produkce,0.711
Jilemnice,Produkce,29.188000000000002
Jindřichův Hradec,Produkce,42.689
Jičín,Produkce,151.08
Kadaň,Produkce,80.236
Kaplice,Produkce,7.748
Karlovy Vary,Produkce,219.454
Karviná,Produkce,1.48
Kladno,Produkce,259.297
Klatovy,Produkce,130.475
Kolín,Produkce,8.5501
Konice,Produkce,2.57
Kopřivnice,Produkce,0.66
Kostelec nad Orlicí,Produkce,32.949999999999996
Kralovice,Produkce,17.53
Kralupy nad Vltavou,Produkce,61.745000000000005
Kraslice,Produkce,0.754
Krnov,Produkce,23.44
Kroměříž,Produkce,11.00814224
Kutná Hora,Produkce,88.6216
Kuřim,Produkce,4.5
Kyjov,Produkce,8.697
Lanškroun,Produkce,7.776000000000001
